name,address,rating,review_count,lat,lng,place_id
Sanssouci Park,"Zur Historischen Mühle 1, 14469 Potsdam, Germany",4.7,35869,52.4032527,13.0298685,ChIJVb8AhS30qEcR_NuoQadC_0U
Park Babelsberg,"Park Babelsberg Schlosspark, 14482 Potsdam, Germany",4.7,5450,52.4047104,13.0941798,ChIJt-a62fz1qEcRIJwFoSAi9IQ
New Garden,"Am Neuen Garten, 14467 Potsdam, Germany",4.6,6388,52.4128856,13.0671473,ChIJM37vlHP2qEcRnMXHh7vmGIc
Volkspark Potsdam,"Georg-Hermann-Allee 99, 14469 Potsdam, Germany",4.5,3410,52.4181697,13.0486414,ChIJc1z2gIf2qEcREuOfrlfVO0Q
Park Sacrow,"Krampnitzer Str. 34, 14470 Potsdam, Germany",4.7,290,52.4268614,13.0946286,ChIJ3za0oj32qEcRRyFvbcrHP1o
Botanical Garden of the University of Potsdam,"Paradiesgarten, Maulbeerallee 2, 14469 Potsdam, Germany",4.7,1387,52.4041058,13.0259602,ChIJ7cnhbSX0qEcR8ANu0dSGcy0
Schlosspark Sanssouci,"Lennestraße 32A, 14469 Potsdam, Germany",4.7,3144,52.4025537,13.0386147,ChIJzaQaGy30qEcRDgAyBHWXyoM
Bugapark Potsdam,"Erich-Mendelsohn-Allee 73A, 14469 Potsdam, Germany",4.6,406,52.4191155,13.0453487,ChIJFW6Fsof2qEcRZEMUYcH-izE
Schlosspark Marquardt,"Driftweg 6, 14476 Potsdam, Germany",4.5,297,52.4552855,12.9637,ChIJyZWonxvxqEcRwMdEq6-sqYc
Sanssouci Palace,"Maulbeerallee, 14469 Potsdam, Germany",4.6,29267,52.40420169999999,13.0384999,ChIJUXWcySz0qEcRFgU6MTKjVdA
Großer Wiesen Park,"Horst-Bienek-Straße 1, 14469 Potsdam, Germany",4.5,468,52.4169444,13.0444444,ChIJC8mv34b2qEcR5tTteuo7HYM
Charlottenhof Park,"Geschwister-Scholl-Straße 34A, 14471 Potsdam, Germany",4.7,86,52.3956285,13.0270785,ChIJX2G_0Tb0qEcRwvFYn08ifTw
Biosphäre Potsdam,"Georg-Hermann-Allee 99, 14469 Potsdam, Germany",4.5,7570,52.41885,13.04943,ChIJ82PKZH32qEcRS8by81tKcqw
Nuthepark,"14473 Potsdam, Germany",4.5,62,52.39422339999999,13.0715642,ChIJH9Of-Oj1qEcRhe9amDItFmo
In den Wällen,"Hermann-Mächtig-Straße 26, 14469 Potsdam, Germany",4.6,98,52.41926059999999,13.0462445,ChIJq-NPuof2qEcRyuKDbmgHT4U
Stadtgarten am Obelisk,"Schopenhauerstraße 22, 14467 Potsdam, Germany",4.5,19,52.4026066,13.0461346,ChIJB-f5sNP1qEcRbxgIInLHkS0
Kleiner Wiesen Park,"14469 Potsdam, Germany",4.5,33,52.4141866,13.0433101,ChIJNeUDDkT3qEcRm0JzJ5P5Uqg
Rehgarten,"Park Sanssouci, Hauptallee, 14469 Potsdam, Germany",4.7,21,52.4013396,13.0258064,ChIJ6SedHDD0qEcREO5wPTKXe8U
Freundschaftsinsel,"Freundschaftsinsel, 14473 Potsdam, Germany",4.8,221,52.3940638,13.0636866,ChIJK95tVNL1qEcRdSqOtGgUrHQ
New Palace,"Am Neuen Palais, 14469 Potsdam, Germany",4.7,9777,52.401301,13.01603,ChIJtY4fwDz0qEcR7nwz1YIQZcw
